Station :0,000
Number of segments :1
   Segment 1
       2,431    2,031
-------------------------------

Station :11,500
Number of segments :1
   Segment 1
       0,000   -0,309
       0,069   -0,309 (knuckle)
       0,069   -0,171 (knuckle)
       0,301   -0,092
       0,463   -0,037
       0,631    0,023
       0,808    0,090
       0,900    0,127
       0,992    0,166
       1,085    0,208
       1,178    0,253
       1,269    0,302
       1,359    0,354
       1,447    0,410
       1,532    0,471
       1,614    0,535
       1,692    0,603
       1,765    0,675
       1,833    0,751
       1,896    0,829
       1,952    0,911
       2,002    0,995
       2,045    1,083
       2,080    1,172
       2,110    1,261
       2,134    1,350
       2,154    1,437
       2,170    1,521
       2,193    1,676
       2,209    1,807
       2,221    1,918
       2,237    2,109
-------------------------------

Station :12,937
Number of segments :1
   Segment 1
       0,000   -0,287
       0,069   -0,287 (knuckle)
       0,069   -0,149 (knuckle)
       0,175   -0,096
       0,352   -0,011
       0,482    0,053
       0,621    0,126
       0,769    0,210
       0,844    0,256
       0,921    0,305
       0,997    0,357
       1,072    0,413
       1,147    0,473
       1,219    0,537
       1,289    0,605
       1,356    0,676
       1,420    0,751
       1,480    0,829
       1,537    0,910
       1,590    0,994
       1,637    1,080
       1,679    1,169
       1,717    1,259
       1,749    1,349
       1,777    1,438
       1,801    1,526
       1,821    1,611
       1,838    1,692
       1,865    1,838
       1,885    1,964
       1,905    2,126
       1,915    2,225
-------------------------------

Station :14,375
Number of segments :1
   Segment 1
       0,000   -0,242
       0,067   -0,242 (knuckle)
       0,069   -0,101 (knuckle)
       0,093   -0,080
       0,155   -0,031
       0,273    0,061
       0,365    0,137
       0,466    0,226
       0,572    0,329
       0,626    0,385
       0,680    0,444
       0,734    0,507
       0,787    0,572
       0,839    0,641
       0,890    0,714
       0,939    0,789
       0,987    0,867
       1,033    0,948
       1,077    1,032
       1,118    1,118
       1,157    1,207
       1,192    1,297
       1,225    1,389
       1,254    1,481
       1,280    1,572
       1,304    1,662
       1,325    1,749
       1,359    1,910
       1,383    2,051
       1,401    2,174
       1,414    2,287
       1,425    2,393
-------------------------------

Station :15,813
Number of segments :1
   Segment 1
       0,000   -0,158
       0,056   -0,158 (knuckle)
       0,069    0,017 (knuckle)
       0,148    0,148
       0,199    0,242
       0,254    0,356
